name,handedness,height,weight,avg,HR,BMI
Tom Brown,R,73,170,0,0,22.96866204
Denny Lemaster,R,73,182,0.13,4,24.58997936
Joe Nolan,L,71,175,0.263,27,24.99504067
Denny Doyle,L,69,175,0.25,16,26.46502836
Jose Cardenal,R,70,150,0.275,138,22.04081633
Mike Ryan,R,74,205,0.193,28,26.95398101
Fritz Peterson,B,72,185,0.159,2,25.69444444
Dick Bertell,R,72,200,0.25,10,27.77777778
Rod Kanehl,R,73,180,0.241,6,24.3197598
Ozzie Osborn,R,74,195,0,0,25.63915267
John LaRose,L,73,185,0,0,24.99530869
Jeff Byrd,R,75,195,0,0,24.96
Juan Bonilla,R,69,170,0.256,7,25.70888469
Frank Tepedino,L,71,185,0.241,6,26.4233287
Jerry Kutzler,L,73,175,0,0,23.64421092
Rick Wise,R,73,180,0.195,15,24.3197598
Darrell Evans,L,74,200,0.248,414,26.29656684
Buck Martinez,R,70,190,0.225,58,27.91836735
John Wockenfuss,R,72,190,0.262,86,26.38888889
Tommy McCraw,L,72,183,0.246,75,25.41666667
Jeff Barkley,B,75,185,0,0,23.68
Eric Wilkins,R,73,190,0,0,25.67085757
Britt Burns,L,77,215,0,0,26.10895598
Lee Lacy,R,73,175,0.286,91,23.64421092
Pete Rose,B,71,192,0.303,160,27.42313033
Danny Walton,R,72,195,0.223,28,27.08333333
Bobby Cox,R,71,180,0.225,9,25.70918469
Brad Wellman,R,72,170,0.231,6,23.61111111
Jeff Newman,R,74,215,0.224,63,28.26880935
Pedro Gonzalez,R,72,176,0.244,8,24.44444444
Nardi Contreras,B,74,193,0,0,25.376187
Tommie Reynolds,R,74,190,0.226,12,24.9817385
Gene Clines,R,69,170,0.277,5,25.70888469
Jim Hickman,R,75,192,0.252,159,24.576
Jack Billingham,R,76,195,0.111,0,24.30747922
Jerry Buchek,R,71,185,0.22,22,26.4233287
Ivan DeJesus,R,71,175,0.254,21,24.99504067
Gary Nolan,R,74,197,0.138,1,25.90211833
Gil Patterson,R,73,185,0,0,24.99530869
Fred Whitfield,L,73,190,0.253,108,25.67085757
Larry Dierker,R,76,215,0.136,4,26.80055402
Dave Skaggs,R,74,200,0.241,3,26.29656684
Dick Ruthven,R,75,190,0.183,1,24.32
Jerry Garvin,L,75,195,0,0,24.96
Steve Eddy,R,74,185,0,0,24.32432432
Dave Kingman,R,78,210,0.236,442,24.85207101
Eric Soderholm,R,71,187,0.264,102,26.70898631
Kevin Mmahat,L,77,220,0,0,26.716141
Ed Brinkman,R,72,170,0.224,60,23.61111111
Wayne Garrett,L,71,175,0.239,61,24.99504067
Tony Muser,L,74,180,0.259,7,23.66691015
Jim Siwy,R,76,200,0,0,24.93074792
Bud Anderson,R,75,210,0,0,26.88
Ted Ford,R,70,180,0.219,17,26.44897959
Kevin Stanfield,L,72,190,0,0,26.38888889
Jim Lyttle,L,72,180,0.248,9,25
John Butcher,R,76,185,0,0,23.06094183
Jerry Ujdur,R,73,195,0,0,26.34640646
Scot Thompson,L,75,195,0.262,5,24.96
Gene Locklear,L,70,165,0.274,9,24.24489796
Bo Diaz,R,71,185,0.255,87,26.4233287
Bump Wills,B,69,172,0.266,36,26.01134216
Brian Denman,R,76,205,0,0,25.55401662
Pat Putnam,L,72,205,0.255,63,28.47222222
Kurt Bevacqua,R,72,180,0.236,27,25
Bob Fallon,L,75,200,0,0,25.6
Syd O'Brien,R,73,185,0.23,24,24.99530869
Chris Chambliss,L,73,195,0.279,185,26.34640646
Tom Satriano,L,73,185,0.225,21,24.99530869
Jeffrey Leonard,R,74,200,0.266,144,26.29656684
Dal Maxvill,R,71,157,0.217,6,22.4241222
Steve Curry,R,78,217,0,0,25.68047337
Cesar Tovar,R,69,155,0.278,46,23.44045369
Mickey Lolich,B,73,170,0.11,0,22.96866204
Ray Chadwick,B,74,180,0,0,23.66691015
Jack Heidemann,R,72,175,0.211,9,24.30555556
Rich Rollins,R,70,185,0.269,77,27.18367347
Walt Bond,L,79,228,0.256,41,26.30347701
